date,block,population,plant,wet_wgt,petal_flower,length,area,dry_wgt,water_mg,water_%,
5/22/25,2,Cojo,14,0.03358,petal,,,0.00369,0.02989,89%,
5/22/25,2,Cojo,15,0.03495,petal,,,0.00529,0.02966,85%,
5/23/25,2,Pt. Conception,1,0.0258,petal,,,0.00388,0.02192,85%,
5/23/25,2,Pt. Conception,2,0.02587,petal,,,0.00871,0.01716,66%,
5/23/25,2,Pt. Conception,3,0.04104,petal,,,0.0064,0.03464,84%,
5/23/25,2,Pt. Conception,4,0.06612,petal,,,0.00563,0.06049,91%,
5/23/25,2,Pt. Conception,5,0.047,petal,,,0.01171,0.03529,75%,
5/23/25,2,Pt. Conception,6,0.01906,petal,,,0.00291,0.01615,85%,
5/23/25,2,Pt. Conception,7,0.03685,petal,,,0.01798,0.01887,51%,
5/23/25,2,Pt. Conception,8,0.02451,petal,,,0.00352,0.02099,86%,
5/23/25,2,Pt. Conception,9,0.06811,petal,,,0.0076,0.06051,89%,
5/23/25,2,Pt. Conception,10,0.03052,petal,,,0.00402,0.0265,87%,
5/23/25,2,Pt. Conception,11,0.02817,petal,,,0.00419,0.02398,85%,
5/23/25,2,Pt. Conception,12,0.04478,petal,,,0.00468,0.0401,90%,
5/23/25,2,Pt. Conception,13,0.02734,petal,,,0.00308,0.02426,89%,
5/23/25,2,Pt. Conception,14,0.05655,petal,,,0.00777,0.04878,86%,
5/23/25,2,Pt. Conception,15,0.01256,petal,,,0.00209,0.01047,83%,
5/23/25,2,Percos,1,0.04319,petal,,,0.00515,0.03804,88%,
5/23/25,2,Percos,2,0.03037,petal,,,0.00675,0.02362,78%,
5/23/25,2,Percos,3,0.05004,petal,,,0.01258,0.03746,75%,
5/23/25,2,Percos,4,0.03811,petal,,,0.01932,0.01879,49%,
5/23/25,2,Percos,5,0.04077,petal,,,0.01289,0.02788,68%,
5/23/25,2,Percos,6,0.02905,petal,,,0.00341,0.02564,88%,
5/23/25,2,Percos,7,0.04868,petal,,,0.01793,0.03075,63%,
5/23/25,2,Percos,8,0.03996,petal,,,0.00464,0.03532,88%,
5/23/25,2,Percos,9,0.02628,petal,,,0.00767,0.01861,71%,
5/23/25,2,Percos,10,0.05349,petal,,,0.0182,0.03529,66%,
5/23/25,2,Percos,11,0.02266,petal,,,0.00653,0.01613,71%,
5/23/25,2,Percos,12,0.02679,petal,,,0.00329,0.0235,88%,
5/23/25,2,Percos,13,0.02851,petal,,,0.00319,0.02532,89%,
