Time,Time_cat,Petal status,uv index,Date,Plant,Photo,Wet_weight_mg,Dry_weight_mg,Petal_area_cm2,water_cm2,tissue_cm2,water_mg
12:00,12,open,8,10-Aug-22,101,x,43.5,6.8,3.474,10.56,1.96,5.397058824
12:00,12,open,8,10-Aug-22,102,x,49.7,6.2,4.122,10.55,1.50,7.016129032
12:00,12,open,8,10-Aug-22,103,x,41.2,6.1,3,11.17,1.94,5.754098361
12:00,12,open,8,10-Aug-22,104,x,31.6,4.9,3.014,8.86,1.63,5.448979592
12:00,12,open,8,10-Aug-22,105,x,42.6,6.8,3.582,9.99,1.90,5.264705882
12:00,12,open,8,10-Aug-22,106,x,25.5,4.2,2.116,10.07,1.98,5.071428571
12:00,12,open,8,10-Aug-22,107,x,29,5.1,1.996,11.97,2.56,4.68627451
12:00,12,open,8,10-Aug-22,108,x,56.4,7.2,4.512,10.90,1.60,6.833333333
12:00,12,open,8,10-Aug-22,109,x,33.9,5.9,1.995,14.04,2.96,4.745762712
12:00,12,open,8,10-Aug-22,110,x,39,7,2.807,11.40,2.49,4.571428571
12:00,12,open,8,10-Aug-22,111,x,44.8,7.9,2.767,13.34,2.86,4.670886076
12:00,12,open,8,10-Aug-22,112,x,45.1,6.7,3.475,11.05,1.93,5.731343284
12:00,12,open,8,10-Aug-22,113,x,47.7,6.5,3.95,10.43,1.65,6.338461538
12:00,12,open,8,10-Aug-22,114,x,43.1,5.7,2.984,12.53,1.91,6.561403509
12:00,12,open,8,10-Aug-22,115,x,23.3,3.5,1.933,10.24,1.81,5.657142857
12:00,12,open,8,10-Aug-22,116,x,29.2,5.7,1.802,13.04,3.16,4.122807018
12:00,12,open,8,10-Aug-22,117,x,30.4,4.6,1.84,14.02,2.50,5.608695652
12:00,12,open,8,10-Aug-22,118,x,27.5,4.8,1.789,12.69,2.68,4.729166667
12:00,12,open,8,10-Aug-22,119,x,38.2,7.1,2.532,12.28,2.80,4.38028169
15:00,15,open,8,10-Aug-22,121,x,79.6,11.6,5.274,12.89,2.20,5.862068966
15:00,15,open,8,10-Aug-22,122,x,74.2,11.8,4.563,13.68,2.59,5.288135593
15:00,15,open,8,10-Aug-22,123,x,29,4.1,1.982,12.56,2.07,6.073170732
15:00,15,open,8,10-Aug-22,124,x,41,5.7,2.905,12.15,1.96,6.192982456
15:00,15,open,8,10-Aug-22,125,x,52.8,5.7,3.181,14.81,1.79,8.263157895
15:00,15,open,8,10-Aug-22,126,x,55,8.5,2.856,16.28,2.98,5.470588235
15:00,15,open,8,10-Aug-22,127,x,41.6,6,2.188,16.27,2.74,5.933333333
15:00,15,open,8,10-Aug-22,128,x,42.2,6.1,3.217,11.22,1.90,5.918032787
15:00,15,open,8,10-Aug-22,129,x,40.3,6.6,2.798,12.04,2.36,5.106060606
15:00,15,open,8,10-Aug-22,130,x,49.9,6.8,3.434,12.55,1.98,6.338235294
15:00,15,open,8,10-Aug-22,131,x,56.6,8.1,2.813,17.24,2.88,5.987654321
15:00,15,open,8,10-Aug-22,132,x,23.3,3.8,1.641,11.88,2.32,5.131578947
15:00,15,open,8,10-Aug-22,133,x,62.7,8.8,3.375,15.97,2.61,6.125
15:00,15,open,8,10-Aug-22,134,x,42.1,6.6,2.749,12.91,2.40,5.378787879
15:00,15,open,8,10-Aug-22,135,x,37.2,5.9,2.328,13.45,2.53,5.305084746
15:00,15,open,8,10-Aug-22,136,x,52.1,9.5,2.29,18.60,4.15,4.484210526
15:00,15,open,8,10-Aug-22,137,x,25.4,3.8,1.456,14.84,2.61,5.684210526
15:00,15,open,8,10-Aug-22,138,x,33,5.2,2.009,13.84,2.59,5.346153846
15:00,15,open,8,10-Aug-22,139,x,39.8,5.2,1.88,18.40,2.77,6.653846154
15:00,15,open,8,10-Aug-22,140,x,55,8.2,3.165,14.79,2.59,5.707317073
15:00,15,open,8,10-Aug-22,141,x,32.1,5.9,1.966,13.33,3.00,4.440677966
15:00,15,open,8,10-Aug-22,142,x,30.4,5.2,1.803,13.98,2.88,4.846153846
15:00,15,open,8,10-Aug-22,143,x,33.3,5,1.952,14.50,2.56,5.66
15:00,15,open,8,10-Aug-22,144,x,36.6,6.2,2.652,11.46,2.34,4.903225806
15:00,15,open,8,10-Aug-22,145,x,33.5,6.5,2.324,11.62,2.80,4.153846154
15:00,15,open,8,10-Aug-22,146,x,16.2,3.2,0.791,16.43,4.05,4.0625
15:00,15,open,8,10-Aug-22,147,x,47.6,7.2,2.321,17.41,3.10,5.611111111
15:00,15,open,8,10-Aug-22,148,x,23.1,3.6,2.022,9.64,1.78,5.416666667
15:00,15,open,8,10-Aug-22,149,x,36.5,6.2,2.286,13.25,2.71,4.887096774
15:00,15,open,8,10-Aug-22,150,x,28.2,5.1,2.232,10.35,2.28,4.529411765
