1-Wire/iButton Part Number: DS1921G-F5,,,
1-Wire/iButton Registration Number: 55000000492FED21,,,
Is Mission Active?  true,,,
Mission Start:  Sat May 21 10:32:00 PDT 2022,,,
Sample Rate:  Every 5 minute(s),,,
Number of Mission Samples:  866,,,
Total Samples:  14362,,,
Roll Over Enabled?  false,,,
Roll Over Occurred?  Roll over has NOT occurred,,,
Active Alarms:  None fired,,,
Next Clock Alarm At:  Disabled,,,
High Temperature Alarm:  85 °C,,,
Low Temperature Alarm:  -40 °C,,,
,,,
Date,Time,Unit,Value
5/23/22, 10:12:00 AM,C,19.5
5/23/22, 10:17:00 AM,C,19.5
5/23/22, 10:22:00 AM,C,19.5
5/23/22, 10:27:00 AM,C,19.5
5/23/22, 10:32:00 AM,C,19.5
5/23/22, 10:37:00 AM,C,20
5/23/22, 10:42:00 AM,C,20
5/23/22, 10:47:00 AM,C,20
5/23/22, 10:52:00 AM,C,20.5
5/23/22, 10:57:00 AM,C,20.5
5/23/22, 11:02:00 AM,C,20.5
5/23/22, 11:07:00 AM,C,20.5
5/23/22, 11:12:00 AM,C,20.5
5/23/22, 11:17:00 AM,C,21
5/23/22, 11:22:00 AM,C,21
5/23/22, 11:27:00 AM,C,21.5
5/23/22, 11:32:00 AM,C,22
5/23/22, 11:37:00 AM,C,22
5/23/22, 11:42:00 AM,C,22
5/23/22, 11:47:00 AM,C,22
5/23/22, 11:52:00 AM,C,22.5
5/23/22, 11:57:00 AM,C,23
5/23/22, 12:02:00 PM,C,23
5/23/22, 12:07:00 PM,C,23.5
5/23/22, 12:12:00 PM,C,23.5
5/23/22, 12:17:00 PM,C,23.5
5/23/22, 12:22:00 PM,C,24
5/23/22, 12:27:00 PM,C,24
5/23/22, 12:32:00 PM,C,23.5
5/23/22, 12:37:00 PM,C,23.5
5/23/22, 12:42:00 PM,C,23.5
